GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),0-30mph Time(s),1/4 mile time(s),1/8 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(mph),Barometric pressure (from vehicle)(psi),Commanded Equivalence Ratio(lambda),Distance travelled since codes cleared(miles),Distance travelled with MIL/CEL lit(miles),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Sensor1 Wide Range Current(mA),O2 Bank 1 Sensor 1 Wide Range Equivalence Ratio(λ),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Oct 08 13:38:16 GMT+05:30 2025,08-Oct-2025 13:38:16.726,73.91314728,18.57395404,3.680000066757202,9.935046195983887,520.3565673828125,280.1000061035156,-0.0418744,3.74416924,11.7332058,0.25421202,-,-,-,-,19.2156868,-0.2,0.05,0.25,0.64999998,30.58823586,15.29411793,14.69999981,14.78792763,35,0.19702013,13.63354737,1,40721.56106772,3.10685596,46,-,22.74509811,48.23529434,1674.5,0.01731441,2.43488312,40.58138275,99.98203278,10.15625,1.5625,-,0.01282549,9.9350462,520.35656738,280.1000061,18.57395363,73.91314697,51,2.10520561,-,28,7.39692464,0,0,∞,0,0,0,1.00598145,0.45500001,7.45098019,150,8.23192564,8.0778255,21.96078491,27,-,0,∞,0,-,1.04900002,0.212,0.83700001,-6.23662281,14.5,14.39999962
Wed Oct 08 13:38:17 GMT+05:30 2025,08-Oct-2025 13:38:17.726,73.91311703,18.57395727,3.5,9.935046195983887,520.315673828125,284.20001220703125,0.09690931,2.62612295,8.96052265,-0.0493831,-,-,-,-,19.2156868,0.08,0.14,0.08,0.95999998,30.58823586,15.29411793,14.69999981,14.78792763,35,0.19702013,13.63354737,1,40721.56106772,3.10685596,46,-,39.2156868,48.23529434,1674.5,0.01731441,2.43488312,40.58138275,99.98203278,10.15625,8.59375,-,0.01282549,9.9350462,520.31567383,284.20001221,18.57395744,73.91311646,50,2.10520561,-,28,7.39692464,0,0,∞,0,0,0,1.00598145,0.45500001,7.45098019,150,7.82927666,8.0778255,16.86274529,15.5,-,0,∞,0,-,2.07800007,1.24100006,0.83700001,-6.23662281,14.56000042,14.39999962
Wed Oct 08 13:38:18 GMT+05:30 2025,08-Oct-2025 13:38:18.726,73.91308531,18.57395731,3.240000009536743,3.7900924682617188,519.55419921875,277.8999938964844,1.37766767,2.08235383,8.99880791,-0.04929674,-,-,-,-,19.2156868,0.09,-0.03,0.31999999,0.93000001,30.58823586,15.29411793,29.39955139,12.88602734,35,0.19702013,13.63354737,1.99996948,40721.56106772,3.10685596,46,-,39.2156868,48.23529434,1674.5,0.01731441,2.43488312,40.58138275,99.98203278,9.375,8.59375,-,0.01282549,3.79009247,519.55419922,277.8999939,18.57395744,73.91308594,51,2.10520561,-,28,7.39692464,0,0,∞,0,0,-0.5234375,0.8766005,0.45500001,7.05882359,150,7.24767331,8.0778255,16.86274529,15.5,-,0,∞,0,-,3.06999993,2.23300004,0.83700001,-6.23662281,14.56000042,14.39999962
Wed Oct 08 13:38:19 GMT+05:30 2025,08-Oct-2025 13:38:19.727,73.91305449,18.57396114,3.3399999141693115,3.7900924682617188,519.2507934570312,281.29998779296875,1.61934268,2.58245373,9.96371365,0.06087363,-,-,-,-,16.86274529,-0.04,0.25,0.15000001,0.80000001,24.70588303,13.33333302,29.39955139,12.88602734,35,0.19702013,13.63354737,1.99996948,40721.56106772,3.10685596,46,-,39.2156868,39.60784149,1674.5,0.01731441,2.43488312,40.58138275,99.98203278,9.375,8.59375,-,0.01282549,3.79009247,519.25079346,281.29998779,18.57396126,73.91305542,52,2.10520561,-,28,7.39692464,0,0,∞,0,0,-0.5234375,0.8766005,0.45500001,7.05882359,154,7.47136672,8.0778255,16.86274529,15.5,-,0,∞,0,-,4.06799984,3.23099995,0.83700001,-6.23662281,14.56000042,14.39999962
Wed Oct 08 13:38:20 GMT+05:30 2025,08-Oct-2025 13:38:20.726,73.9130202,18.573967,3.930000066757202,3.7900924682617188,519.1634521484375,283.29998779296875,0.91106725,2.34077883,10.16052341,0.06564975,-,-,-,-,16.86274529,0,0.12,0.18000001,0.87,24.70588303,13.33333302,29.39955139,12.88602734,35,0.38465837,13.63354737,1.99996948,40721.56106772,3.10685596,47,-,40,39.60784149,989,0.0231576,4.35977268,72.66287994,99.9752655,9.375,-8.59375,-,0.01715378,3.79009247,519.16345215,283.29998779,18.57396698,73.91301727,54,0.60645866,-,28,6.67173595,3.40149832,0.26165372,382.17657471,9.60875225,0.73913479,-0.5234375,0.8766005,0.45500001,7.05882359,154,8.79115948,8.0778255,16.86274529,15.5,-,0.26165372,382.17657471,0.73913479,0.00805763,5.08199978,4.24499989,0.83700001,-6.96181154,14.56000042,14.39999962
Wed Oct 08 13:38:21 GMT+05:30 2025,08-Oct-2025 13:38:21.728,73.91298227,18.57397529,4.199999809265137,3.7900924682617188,518.999755859375,282.8999938964844,2.07457733,3.59282327,11.08654594,0.20540392,-,-,-,-,16.86274529,-0.05,0.08,0.25,0.80000001,24.70588303,13.33333302,29.39955139,12.88602734,35,0.38465837,13.63354737,1.99996948,40721.56106772,3.10685596,47,-,40,39.60784149,989,0.0231576,4.35977268,72.66287994,99.9752655,10.15625,-8.59375,-,0.01715378,3.79009247,518.99975586,282.8999939,18.57397461,73.91297913,54,0.60645866,-,28,6.67173595,3.40149832,0.26165372,382.17657471,9.60875225,0.73913479,-0.5234375,0.8766005,0.45500001,7.05882359,154,9.39513176,8.0778255,17.25490189,4.5,-,0.26165372,382.17657471,0.73913479,0.00805763,6.0619998,5.2249999,0.83700001,-6.96181154,14.52000046,14.39999962
Wed Oct 08 13:38:22 GMT+05:30 2025,08-Oct-2025 13:38:22.730,73.91294209,18.57398348,4.349999904632568,3.7900924682617188,518.6226806640625,282.20001220703125,1.16949213,2.39342093,9.17886734,-0.02699,-,-,-,-,21.1764698,0.11,0.13,0.31,0.95999998,28.23529434,13.33333302,14.71076679,14.4005537,35,0.38465837,13.63354737,1.00073242,40721.56106772,3.10685596,47,-,40,39.60784149,989,0.0231576,4.35977268,72.66287994,99.9752655,10.15625,-8.59375,-,0.01715378,3.79009247,518.62268066,282.20001221,18.57398415,73.91294098,52,0.60645866,-,28,6.67173595,3.40149832,0.26165372,382.17657471,9.60875225,0.73913479,-0.078125,0.97962952,0.45500001,5.09803915,154,9.73067218,8.0778255,17.25490189,4.5,-,0.26165372,382.17657471,0.73913479,0.00805763,7.06500006,6.22800016,0.83700001,-6.96181154,14.52000046,14.39999962
Wed Oct 08 13:38:23 GMT+05:30 2025,08-Oct-2025 13:38:23.733,73.91290046,18.57399259,4.539999961853027,3.7900924682617188,519.1217041015625,282.8999938964844,0.32183465,1.92921329,9.9517498,0.03259456,-,-,-,-,21.1764698,-0.01,0.12,0.22,0.85000002,28.23529434,13.33333302,14.71076679,14.4005537,35,0.38465837,13.63354737,1.00073242,40721.56106772,3.10685596,47,-,40,46.66666794,1249,0.02551846,1.75317407,29.21956825,99.97253418,10.15625,-8.59375,-,0.01890257,3.79009247,519.1217041,282.8999939,18.57399178,73.91290283,53,0.60645866,-,28,5.07632083,7.56918097,0.78361994,127.61022949,21.38186836,2.21361566,-0.078125,0.97962952,0.45500001,5.09803915,157,10.15569068,8.0778255,17.25490189,4.5,-,0.78361994,127.61022949,2.21361566,0.00805763,8.06299973,7.22599983,0.83700001,-8.55722618,14.52000046,14.39999962
Wed Oct 08 13:38:24 GMT+05:30 2025,08-Oct-2025 13:38:24.729,73.91285723,18.57400196,4.71999979019165,3.7900924682617188,519.2612915039062,282.29998779296875,0.67118675,2.71226454,9.91585732,0.04889083,-,-,-,-,21.1764698,0.05,0.08,0.22,0.92000002,28.23529434,13.33333302,14.71076679,14.4005537,35,0.62137119,13.63354737,1.00073242,40721.56106772,3.10685596,47,-,30.19607925,46.66666794,1249,0.02551846,1.75317407,29.21956825,99.97253418,10.15625,-3.90625,-,0.01890257,3.79009247,519.2612915,282.29998779,18.57400131,73.91285706,53,0.40761985,-,27,5.07632083,7.56918097,0.78361994,127.61022949,21.38186836,2.21361566,-0.078125,0.97962952,0.45500001,5.09803915,157,10.55833847,10.56331026,20,10.5,-,0.78361994,127.61022949,2.21361566,0.02700375,9.07600021,8.23900032,0.83700001,-8.55722618,14.56000042,14.39999962
Wed Oct 08 13:38:25 GMT+05:30 2025,08-Oct-2025 13:38:25.728,73.91281391,18.57400945,4.670000076293945,3.7900924682617188,519.2114868164062,280.3999938964844,0.68793648,1.51226389,10.61994553,0.09446871,-,-,-,-,21.1764698,0.05,0.04,0.20999999,0.92000002,28.23529434,13.33333302,14.71076679,15.08966732,35,0.62137119,13.63354737,1.00073242,40721.56106772,3.10685596,47,-,30.19607925,46.66666794,1249,0.02551846,1.75317407,29.21956825,99.97253418,10.15625,-3.90625,-,0.01890257,3.79009247,519.21148682,280.3999939,18.57400894,73.91281128,51,0.40761985,-,27,5.07632083,7.56918097,0.78361994,127.61022949,21.38186836,2.21361566,0.04296875,1.02650797,0.44999999,5.09803915,157,10.44649265,10.56331026,20,10.5,-,0.78361994,127.61022949,2.21361566,0.02700375,10.05799961,9.22099972,0.83700001,-8.55722618,14.56000042,14.39999962
